Date,Open,High,Low,Close,Volume,Market Cap
7/4/2018,14.23,14.33,13.91,14.01,37043700,1597205289
7/3/2018,14.56,14.78,14.08,14.17,60657300,1616136143
7/2/2018,14.4,14.82,14.06,14.57,55614000,1661650022
7/1/2018,14.68,14.69,14.14,14.4,38434400,1642662147
6/30/2018,14.55,15.18,14.29,14.66,59676900,1671537402
6/29/2018,14.17,14.65,13.78,14.51,52784600,1654579462
6/28/2018,14.03,14.75,13.86,14.12,67290496,1610787606
6/27/2018,14.07,14.31,13.89,14.05,44136600,1602291530
6/26/2018,14.93,14.99,13.87,14.12,37503400,1610263016
6/25/2018,14.46,15.07,13.83,14.92,60358000,1701598686
6/24/2018,15.57,15.59,13.54,14.45,96256304,1647622943
6/23/2018,15.6,16.06,15.36,15.55,70431104,1773478911
6/22/2018,17.07,17.24,15.26,15.59,113751000,1778348474
6/21/2018,16.07,17.27,15.92,17.05,122980000,1944780333
6/20/2018,16.76,16.86,15.74,16.06,65190300,1831719798
6/19/2018,16.78,16.94,16.21,16.7,80738096,1904443928
6/18/2018,16.62,17.19,16.22,16.88,106776000,1924982765
6/17/2018,15.78,17.23,15.76,16.58,107346000,1890667740
6/16/2018,14.94,15.98,14.94,15.81,81354704,1802901564
6/15/2018,14.88,15.65,14.69,15.05,79159296,1716104738
6/14/2018,14.64,15.03,14.14,14.9,80329504,1698679229
6/13/2018,15.3,15.72,14.03,14.59,97415904,1663759786
6/12/2018,15.52,16.16,14.99,15.23,116016000,1736415491
6/11/2018,14.14,15.38,13.79,15.38,83039696,1754354186
6/10/2018,15.93,15.93,13.59,14.18,79288200,1617584467
6/9/2018,16.31,16.89,15.96,15.96,85299904,1820463922
6/8/2018,16.35,16.63,15.83,16.27,94394600,1855885147
6/7/2018,17.27,17.44,16.18,16.26,131031000,1854664905
6/6/2018,15.6,17.36,15.35,17.25,157806000,1966927151
6/5/2018,14.25,15.67,14.21,15.6,101474000,1778964297
6/4/2018,14.68,14.68,13.67,14.26,58219100,1626354242
6/3/2018,14.68,14.95,14.33,14.57,82182304,1661125432
6/2/2018,14.32,14.85,14.01,14.68,87983000,1674091926
6/1/2018,14.25,14.41,13.79,14.24,80342200,1624039204
5/31/2018,12.56,14.22,12.41,14.19,93931696,1618268715
5/30/2018,12.61,12.8,12.27,12.57,43146300,1433601654
5/29/2018,11.96,12.68,11.77,12.57,48807700,1433692887
5/28/2018,12.6,12.75,11.7,11.89,33398400,1356441317
5/27/2018,12.79,12.79,12.33,12.61,36691600,1437581695
5/26/2018,12.96,13.2,12.7,12.76,43258400,1455064225
5/25/2018,13.03,13.37,12.64,13.01,49173800,1483449102
5/24/2018,12.61,13.19,12.2,13,54410900,1482570984
5/23/2018,13.85,13.93,12.33,12.63,68215200,1439908137
5/22/2018,14.57,14.84,13.75,13.93,86545104,1588081985
5/21/2018,14.13,14.79,13.82,14.72,97367296,1678950085
5/20/2018,14.35,14.37,13.69,14.12,95390200,1610012126
5/19/2018,15.13,15.62,13.99,14.25,138320992,1624598007
5/18/2018,12.36,16.22,12.05,15.14,243260992,1726060542
5/17/2018,12.32,12.97,12.27,12.47,54251500,1421524681
5/16/2018,12.56,12.57,11.95,12.26,35233200,1398203237
5/15/2018,12.85,13.27,12.51,12.57,45696200,1433248126
5/14/2018,13.16,13.17,12.36,12.87,49317700,1467791233
5/13/2018,13.01,13.55,12.74,13.12,70816496,1496073473
5/12/2018,12.97,13.15,12.25,12.94,44001000,1476139055
5/11/2018,13.88,14.09,12.59,12.99,57027500,1481841120
5/10/2018,14.68,15.05,13.82,13.82,68250000,1575868163
5/9/2018,13.52,14.81,13.08,14.66,99046304,1671868121
5/8/2018,13.7,13.92,13.15,13.53,57865500,1542864614
5/7/2018,13.94,13.97,12.99,13.7,59800200,1562650778
5/6/2018,14.36,14.8,13.68,13.94,74731600,1590032091
5/5/2018,14.32,14.5,14.21,14.37,71502096,1638625085
5/4/2018,14.63,14.68,14.24,14.33,79940496,1634154667
